y,x,street_count,highway,ref,geometry
37.5266153,127.0007941,3,,,POINT (127.0007941 37.5266153)
37.5259639,126.9974225,3,,,POINT (126.9974225 37.5259639)
37.5276961,127.0023753,3,,,POINT (127.0023753 37.5276961)
37.5880546,127.0235409,3,,,POINT (127.0235409 37.5880546)
37.5866237,127.0251995,3,,,POINT (127.0251995 37.5866237)
37.5865641,127.0253029,3,,,POINT (127.0253029 37.5865641)
37.5862328,127.0252521,3,,,POINT (127.0252521 37.5862328)
37.5099362,127.0398003,3,,,POINT (127.0398003 37.5099362)
37.5082323,127.0346951,3,,,POINT (127.0346951 37.5082323)
37.5539254,127.0345823,5,,,POINT (127.0345823 37.5539254)
37.5826576,127.0295291,4,,,POINT (127.0295291 37.5826576)
37.5957562,127.0209932,3,,,POINT (127.0209932 37.5957562)
37.6141449,127.0670545,4,,,POINT (127.0670545 37.6141449)
37.58942,127.01966,4,,,POINT (127.01966 37.58942)
37.5848405,127.0179555,3,,,POINT (127.0179555 37.5848405)
37.5199793,126.9938864,3,,,POINT (126.9938864 37.5199793)
37.5198638,126.9937006,1,,,POINT (126.9937006 37.5198638)
37.5857098,127.0014698,4,,,POINT (127.0014698 37.5857098)
37.590501,127.0203554,4,,,POINT (127.0203554 37.590501)
37.5473618,127.0030249,4,,,POINT (127.0030249 37.5473618)
37.5890868,127.0221583,4,,,POINT (127.0221583 37.5890868)
37.5906303,127.0218199,3,,,POINT (127.0218199 37.5906303)
37.5903999,127.0215764,3,,,POINT (127.0215764 37.5903999)
37.5948601,127.021286,4,,,POINT (127.021286 37.5948601)
37.591052,127.0188518,3,,,POINT (127.0188518 37.591052)
37.5916112,127.0180411,3,,,POINT (127.0180411 37.5916112)
37.5909058,127.0183954,4,,,POINT (127.0183954 37.5909058)
37.5913749,127.0199029,5,,,POINT (127.0199029 37.5913749)
37.5292994,127.0093667,3,,,POINT (127.0093667 37.5292994)
37.5399001,126.9427088,3,,,POINT (126.9427088 37.5399001)
37.5700513,126.972549,4,,,POINT (126.972549 37.5700513)
37.589064,127.0223455,3,,,POINT (127.0223455 37.589064)
37.5897258,127.0202542,3,,,POINT (127.0202542 37.5897258)
37.59013,127.0203096,3,,,POINT (127.0203096 37.59013)
37.5893517,127.020195,4,,,POINT (127.020195 37.5893517)
37.5865012,127.0236985,4,,,POINT (127.0236985 37.5865012)
37.5891447,127.0216101,4,,,POINT (127.0216101 37.5891447)
37.5913272,127.0209152,3,,,POINT (127.0209152 37.5913272)
37.5904723,127.0208339,3,,,POINT (127.0208339 37.5904723)
37.5900298,127.0217009,3,,,POINT (127.0217009 37.5900298)
37.5912492,127.0182135,3,,,POINT (127.0182135 37.5912492)
37.5913486,127.0204434,4,,,POINT (127.0204434 37.5913486)
37.6147981,127.0663577,4,,,POINT (127.0663577 37.6147981)
37.5800607,127.0450673,4,,,POINT (127.0450673 37.5800607)
37.5740414,126.9726915,4,,,POINT (126.9726915 37.5740414)
37.5701892,126.9725486,4,,,POINT (126.9725486 37.5701892)
37.5966862,127.0214165,3,,,POINT (127.0214165 37.5966862)
37.5929893,127.0173308,3,,,POINT (127.0173308 37.5929893)
37.5921551,127.0165741,4,,,POINT (127.0165741 37.5921551)
37.5905509,127.0197876,4,crossing,,POINT (127.0197876 37.5905509)
37.588913,127.0166395,4,,,POINT (127.0166395 37.588913)
37.5904189,127.0193861,3,,,POINT (127.0193861 37.5904189)
37.5903218,127.0190824,3,,,POINT (127.0190824 37.5903218)
37.590215,127.0187426,4,,,POINT (127.0187426 37.590215)
37.5905066,127.0185905,3,,,POINT (127.0185905 37.5905066)
37.5926095,127.0175574,4,,,POINT (127.0175574 37.5926095)
37.5941181,127.0193922,4,,,POINT (127.0193922 37.5941181)
37.59494,127.02033,4,,,POINT (127.02033 37.59494)
37.5857844,127.020696,4,,,POINT (127.020696 37.5857844)
37.5869026,127.0202844,4,,,POINT (127.0202844 37.5869026)
37.5925538,127.0205918,4,,,POINT (127.0205918 37.5925538)
37.5925097,127.0210204,3,,,POINT (127.0210204 37.5925097)
37.5836111,127.0294831,4,,,POINT (127.0294831 37.5836111)
37.5836462,127.0289066,3,,,POINT (127.0289066 37.5836462)
37.5924113,127.0363737,4,,,POINT (127.0363737 37.5924113)
37.5923569,127.035225,3,crossing,,POINT (127.035225 37.5923569)
37.5945305,127.026367,3,,,POINT (127.026367 37.5945305)
37.594556,127.0260505,3,,,POINT (127.0260505 37.594556)
37.5941829,127.0252698,3,,,POINT (127.0252698 37.5941829)
37.5729775,126.9862331,4,,,POINT (126.9862331 37.5729775)
37.5559575,126.8727989,1,,,POINT (126.8727989 37.5559575)
37.5596874,127.0339099,3,,,POINT (127.0339099 37.5596874)
37.5545755,127.0343753,4,,,POINT (127.0343753 37.5545755)
37.5473727,127.0364883,4,traffic_signals,,POINT (127.0364883 37.5473727)
37.5992416,127.0065245,3,,,POINT (127.0065245 37.5992416)
37.5995815,127.003056,3,,,POINT (127.003056 37.5995815)
37.5932361,127.0009998,3,,,POINT (127.0009998 37.5932361)
37.5932894,126.9997193,3,,,POINT (126.9997193 37.5932894)
37.5516368,127.0002482,2,,,POINT (127.0002482 37.5516368)
37.6213875,126.926285,4,,,POINT (126.926285 37.6213875)
37.6203,126.9224374,3,,,POINT (126.9224374 37.6203)
37.6214211,126.924398,3,,,POINT (126.924398 37.6214211)
37.6212658,126.9245244,3,,,POINT (126.9245244 37.6212658)
37.6177787,126.9331597,3,,,POINT (126.9331597 37.6177787)
37.6180759,126.9336742,3,,,POINT (126.9336742 37.6180759)
37.6423559,126.9386108,3,,,POINT (126.9386108 37.6423559)
37.599669,127.0035163,3,,,POINT (127.0035163 37.599669)
37.5997164,127.0037702,3,,,POINT (127.0037702 37.5997164)
37.5992307,127.0055425,3,,,POINT (127.0055425 37.5992307)
37.5996379,127.0056808,3,,,POINT (127.0056808 37.5996379)
37.5687258,126.9161036,3,,,POINT (126.9161036 37.5687258)
37.6104919,126.9111565,4,,,POINT (126.9111565 37.6104919)
37.6189408,126.9158887,3,,,POINT (126.9158887 37.6189408)
37.6201772,126.9161307,4,,,POINT (126.9161307 37.6201772)
37.6206333,126.9127853,3,,,POINT (126.9127853 37.6206333)
37.6225467,126.9114123,3,,,POINT (126.9114123 37.6225467)
37.6226416,126.9116641,3,,,POINT (126.9116641 37.6226416)
37.6217532,126.912508,3,,,POINT (126.912508 37.6217532)
37.6213267,126.9139437,3,,,POINT (126.9139437 37.6213267)
37.6109795,126.9217541,3,,,POINT (126.9217541 37.6109795)
37.6119322,126.9217782,4,,,POINT (126.9217782 37.6119322)
37.614451,126.9224224,4,,,POINT (126.9224224 37.614451)
37.6149244,126.9222533,4,,,POINT (126.9222533 37.6149244)
37.6169693,126.9205336,4,,,POINT (126.9205336 37.6169693)
37.6200884,126.9194323,3,,,POINT (126.9194323 37.6200884)
37.6286325,126.9164719,4,,,POINT (126.9164719 37.6286325)
37.6246089,126.9192223,4,,,POINT (126.9192223 37.6246089)
37.6233784,126.9191059,4,,,POINT (126.9191059 37.6233784)
37.6221791,126.9189655,4,,,POINT (126.9189655 37.6221791)
37.6214031,126.919119,3,,,POINT (126.919119 37.6214031)
37.6010186,126.9136379,3,,,POINT (126.9136379 37.6010186)
37.6096408,126.9126636,3,,,POINT (126.9126636 37.6096408)
37.6128773,126.9139503,4,crossing,,POINT (126.9139503 37.6128773)
37.6183063,126.9174045,4,,,POINT (126.9174045 37.6183063)
37.6113697,126.9118707,3,,,POINT (126.9118707 37.6113697)
37.618514,126.9104445,3,,,POINT (126.9104445 37.618514)
37.6148467,126.9162001,4,,,POINT (126.9162001 37.6148467)
37.6142017,126.9177713,4,,,POINT (126.9177713 37.6142017)
37.6156618,126.910728,4,,,POINT (126.910728 37.6156618)
37.615296,126.9116883,4,,,POINT (126.9116883 37.615296)
37.6259144,126.9193428,4,,,POINT (126.9193428 37.6259144)
37.6246457,126.9178689,4,,,POINT (126.9178689 37.6246457)
37.6234041,126.9177855,4,,,POINT (126.9177855 37.6234041)
37.6216178,126.9176947,4,,,POINT (126.9176947 37.6216178)
37.6267195,126.9114004,1,,,POINT (126.9114004 37.6267195)
37.6266892,126.9122903,3,,,POINT (126.9122903 37.6266892)
37.6251673,126.9154096,4,,,POINT (126.9154096 37.6251673)
37.6243451,126.9164162,3,,,POINT (126.9164162 37.6243451)
37.6234608,126.9170079,5,,,POINT (126.9170079 37.6234608)
37.6209234,126.9165167,4,,,POINT (126.9165167 37.6209234)
37.6207779,126.9177507,4,,,POINT (126.9177507 37.6207779)
37.6209844,126.9192037,4,,,POINT (126.9192037 37.6209844)
